Lp.,Zawodnik,Drużyna,Mecze,Celne rzuty z gry suma,Celne rzuty z gry śr.,Oddane rzuty z gry suma,Oddane rzuty z gry śr.,Skuteczność z gry
1,Jonah Mathews,Anwil Włocławek ,7,48,6.9,100,14.3,48
2,Dragan Apić,Enea Zastal BC Zielona Góra ,7,48,6.9,77,11,62.3
3,Stacy Davis,King Szczecin ,7,48,6.9,99,14.1,48.5
4,A.j. English,HydroTruck Radom ,7,47,6.7,99,14.1,47.5
5,Jabarie Hinds,GTK Gliwice ,7,47,6.7,95,13.6,49.5
6,Michael Moore,HydroTruck Radom ,8,47,5.9,106,13.3,44.3
7,Maurice Watson,Twarde Pierniki Toruń ,7,46,6.6,99,14.1,46.5
8,Kyndall Dykes,Anwil Włocławek ,7,46,6.6,92,13.1,50
9,William Garrett,Grupa Sierleccy Czarni Słupsk ,7,46,6.6,106,15.1,43.4
10,Doron Lamb,Polski Cukier Pszczółka Start Lublin ,7,42,6,86,12.3,48.8
11,Muhammad-Ali Abdur-Rahkman,Legia Warszawa ,6,41,6.8,81,13.5,50.6
12,Michael Lewis II,MKS Dąbrowa Górnicza ,7,41,5.9,82,11.7,50
13,Trevor Thompson ,Twarde Pierniki Toruń ,7,40,5.7,85,12.1,47.1
14,James Palmer Jr.,Arged BM Stal Ostrów Wlkp. ,7,39,5.6,70,10,55.7
15,Cyril Langevine,WKS Śląsk Wrocław ,8,39,4.9,57,7.1,68.4
16,Yannick Franke,Trefl Sopot ,7,39,5.6,76,10.9,51.3
17,Jakub Schenk,King Szczecin ,7,38,5.4,72,10.3,52.8
18,Michael Young,Arged BM Stal Ostrów Wlkp. ,7,37,5.3,69,9.9,53.6
19,Nemanja Nenadić,Enea Zastal BC Zielona Góra ,6,37,6.2,86,14.3,43
20,Joshua Sharma,Trefl Sopot ,7,37,5.3,57,8.1,64.9
21,Luke Petrasek,Anwil Włocławek ,7,36,5.1,73,10.4,49.3
22,Roberts Stumbris,GTK Gliwice ,7,36,5.1,64,9.1,56.3
23,Aaron Cel,Twarde Pierniki Toruń ,7,35,5,62,8.9,56.5
24,Anthony Ireland,HydroTruck Radom ,7,35,5,79,11.3,44.3
25,Marek Klassen,Grupa Sierleccy Czarni Słupsk ,7,35,5,98,14,35.7
26,Erick Neal,PGE Spójnia Stargard ,7,34,4.9,79,11.3,43
27,James Florence,Arged BM Stal Ostrów Wlkp. ,7,34,4.9,70,10,48.6
28,Lewis Beech Iii,Grupa Sierleccy Czarni Słupsk ,7,33,4.7,79,11.3,41.8
29,Kodi Justice,WKS Śląsk Wrocław ,8,33,4.1,76,9.5,43.4
30,Karol Gruszecki,Trefl Sopot ,7,33,4.7,70,10,47.1
31,Novak Musić,Asseco Arka Gdynia ,6,33,5.5,58,9.7,56.9
32,Jarosław Zyskowski,Enea Zastal BC Zielona Góra ,7,33,4.7,69,9.9,47.8
33,Josip Sobin,MKS Dąbrowa Górnicza ,7,32,4.6,54,7.7,59.3
34,Kerem Kanter,WKS Śląsk Wrocław ,8,32,4,64,8,50
35,Klavs Čavars,Enea Abramczyk Astoria Bydgoszcz ,7,32,4.6,58,8.3,55.2
36,Paul Jorgensen,Enea Abramczyk Astoria Bydgoszcz ,7,31,4.4,77,11,40.3
37,Darious Moten,Trefl Sopot ,7,31,4.4,56,8,55.4
38,Sherron Dorsey-Walker,King Szczecin ,7,31,4.4,67,9.6,46.3
39,James Eads III,Twarde Pierniki Toruń ,7,30,4.3,76,10.9,39.5
40,Filip Kraljević,HydroTruck Radom ,7,30,4.3,61,8.7,49.2
41,Justin Gray,PGE Spójnia Stargard ,7,29,4.1,59,8.4,49.2
42,Matthew Williams,GTK Gliwice ,7,29,4.1,76,10.9,38.2
43,Aleksander Dziewa,WKS Śląsk Wrocław ,8,28,3.5,37,4.6,75.7
44,Jonas Zohore,PGE Spójnia Stargard ,7,28,4,51,7.3,54.9
45,Devoe Joseph,Enea Zastal BC Zielona Góra ,7,28,4,63,9,44.4
46,Filip Put,GTK Gliwice ,7,28,4,59,8.4,47.5
47,Strahinja Jovanović,WKS Śląsk Wrocław ,8,28,3.5,73,9.1,38.4
48,Bartłomiej Wołoszyn,Asseco Arka Gdynia ,6,28,4.7,66,11,42.4
49,Filip Matczak,King Szczecin ,7,28,4,56,8,50
50,Mateusz Zębski,Enea Abramczyk Astoria Bydgoszcz ,7,27,3.9,44,6.3,61.4
51,Raymond Cowels III,Legia Warszawa ,6,27,4.5,66,11,40.9
52,Damian Kulig,Arged BM Stal Ostrów Wlkp. ,7,26,3.7,46,6.6,56.5
53,Michał Kolenda,Trefl Sopot ,7,26,3.7,58,8.3,44.8
54,Tweety Carter,Polski Cukier Pszczółka Start Lublin ,7,26,3.7,64,9.1,40.6
55,Joshua Sharkey,Polski Cukier Pszczółka Start Lublin ,7,25,3.6,61,8.7,41
56,Jimmie Taylor,Polski Cukier Pszczółka Start Lublin ,7,25,3.6,39,5.6,64.1
57,Kavell Bigby-Williams,Anwil Włocławek ,7,24,3.4,39,5.6,61.5
58,Jacobi Boykins,PGE Spójnia Stargard ,6,24,4,53,8.8,45.3
59,Nicolas Moore,MKS Dąbrowa Górnicza ,7,24,3.4,66,9.4,36.4
60,Mateusz Kostrzewski,Polski Cukier Pszczółka Start Lublin ,7,24,3.4,62,8.9,38.7
61,Danilo Ostojić,HydroTruck Radom ,8,24,3,52,6.5,46.2
62,Łukasz Kolenda,WKS Śląsk Wrocław ,8,23,2.9,53,6.6,43.4
63,Adam Ramstedt,GTK Gliwice ,7,23,3.3,31,4.4,74.2
64,Mikołaj Witliński,Grupa Sierleccy Czarni Słupsk ,7,23,3.3,47,6.7,48.9
65,Mateusz Dziemba,Polski Cukier Pszczółka Start Lublin ,7,23,3.3,52,7.4,44.2
66,Dominykas Domarkas,Enea Abramczyk Astoria Bydgoszcz ,7,22,3.1,53,7.6,41.5
67,Branden Frazier,Enea Zastal BC Zielona Góra ,7,22,3.1,57,8.1,38.6
68,Milivoje Mijović,MKS Dąbrowa Górnicza ,7,22,3.1,47,6.7,46.8
69,Jakub Nizioł,Enea Abramczyk Astoria Bydgoszcz ,7,22,3.1,50,7.1,44
70,Keyshawn Woods,GTK Gliwice ,5,22,4.4,49,9.8,44.9
71,Paweł Leończyk,Trefl Sopot ,7,22,3.1,40,5.7,55
72,Kalif Young,Grupa Sierleccy Czarni Słupsk ,7,22,3.1,36,5.1,61.1
73,Paweł Kikowski,King Szczecin ,7,21,3,52,7.4,40.4
74,Denzel Andersson,Arged BM Stal Ostrów Wlkp. ,7,21,3,43,6.1,48.8
75,Trey Drechsel,Arged BM Stal Ostrów Wlkp. ,7,21,3,59,8.4,35.6
76,Derrick Fenner Jr,MKS Dąbrowa Górnicza ,4,20,5,48,12,41.7
77,Filip Małgorzaciak,MKS Dąbrowa Górnicza ,7,20,2.9,38,5.4,52.6
78,Andrzej Mazurczak,Enea Zastal BC Zielona Góra ,7,20,2.9,34,4.9,58.8
79,Aleksander Lewandowski,HydroTruck Radom ,8,19,2.4,40,5,47.5
80,Alan Herndon,Enea Abramczyk Astoria Bydgoszcz ,7,19,2.7,38,5.4,50
81,David Brembly,Enea Zastal BC Zielona Góra ,7,19,2.7,36,5.1,52.8
82,Kacper Młynarski,PGE Spójnia Stargard ,7,19,2.7,59,8.4,32.2
83,Brandon Young,Trefl Sopot ,4,19,4.8,37,9.3,51.4
84,Djoko Šalić,King Szczecin ,7,19,2.7,35,5,54.3
85,James Bell,Anwil Włocławek ,7,19,2.7,55,7.9,34.5
86,Daniel Szymkiewicz,PGE Spójnia Stargard ,6,18,3,50,8.3,36
87,Kacper Borowski,King Szczecin ,7,18,2.6,34,4.9,52.9
88,Michał Chyliński,Enea Abramczyk Astoria Bydgoszcz ,6,17,2.8,32,5.3,53.1
89,Michał Kołodziej,Twarde Pierniki Toruń ,7,17,2.4,39,5.6,43.6
90,Łukasz Koszarek,Legia Warszawa ,6,17,2.8,36,6,47.2
91,Dominik Wilczek,Asseco Arka Gdynia ,6,16,2.7,38,6.3,42.1
92,Jakub Musiał,Grupa Sierleccy Czarni Słupsk ,7,16,2.3,32,4.6,50
93,Jakub Karolak,WKS Śląsk Wrocław ,7,16,2.3,36,5.1,44.4
94,Filip Zegzuła,HydroTruck Radom ,8,16,2,39,4.9,41
95,Adrian Bogucki,Asseco Arka Gdynia ,6,16,2.7,31,5.2,51.6
96,Dawid Słupiński,Grupa Sierleccy Czarni Słupsk ,7,15,2.1,25,3.6,60
97,Jake O'brien,PGE Spójnia Stargard ,7,15,2.1,48,6.9,31.3
98,Adam Hrycaniuk,Asseco Arka Gdynia ,6,15,2.5,38,6.3,39.5
99,Ivan Ramljak,WKS Śląsk Wrocław ,6,15,2.5,41,6.8,36.6
100,Quenton De Cosey,Polski Cukier Pszczółka Start Lublin ,7,15,2.1,34,4.9,44.1
101,Jure Škifić,Legia Warszawa ,6,14,2.3,45,7.5,31.1
102,Andrzej Pluta,Enea Abramczyk Astoria Bydgoszcz ,7,14,2,36,5.1,38.9
103,Mateusz Bartosz,King Szczecin ,5,14,2.8,21,4.2,66.7
104,Adam Kemp,Legia Warszawa ,6,13,2.2,19,3.2,68.4
105,Justin Bibbs,WKS Śląsk Wrocław ,4,13,3.3,35,8.8,37.1
106,Grzegorz Kulka,Legia Warszawa ,6,13,2.2,29,4.8,44.8
107,Tomasz Śnieg,PGE Spójnia Stargard ,7,13,1.9,28,4,46.4
108,Michał Samsonowicz,Twarde Pierniki Toruń ,7,13,1.9,31,4.4,41.9
109,Dariusz Wyka,Legia Warszawa ,6,12,2,25,4.2,48
110,Kamil Łączyński,Anwil Włocławek ,7,12,1.7,31,4.4,38.7
111,Bartosz Diduszko,Twarde Pierniki Toruń ,7,12,1.7,34,4.9,35.3
112,Krzysztof Sulima,Enea Zastal BC Zielona Góra ,7,11,1.6,23,3.3,47.8
113,Filip Dylewicz,Asseco Arka Gdynia ,4,11,2.8,27,6.8,40.7
114,Adam Brenk,MKS Dąbrowa Górnicza ,7,11,1.6,24,3.4,45.8
115,Paweł Dzierżak,HydroTruck Radom ,8,10,1.3,26,3.3,38.5
116,Jahenns Manigat,Twarde Pierniki Toruń ,4,10,2.5,31,7.8,32.3
117,Mateusz Szlachetka,Trefl Sopot ,7,10,1.4,34,4.9,29.4
118,Tony Meier,Enea Zastal BC Zielona Góra ,6,9,1.5,25,4.2,36
119,Michał Nowakowski,MKS Dąbrowa Górnicza ,7,9,1.3,27,3.9,33.3
120,Nikola Mišković,Asseco Arka Gdynia ,4,9,2.3,38,9.5,23.7
121,Grzegorz Kamiński,Legia Warszawa ,6,9,1.5,21,3.5,42.9
122,Bartosz Jankowski,"Asseco Arka Gdynia, Grupa Sierleccy Czarni Słupsk ",4,9,2.3,19,4.8,47.4
123,DeAndre Davis,Trefl Sopot ,4,9,2.3,19,4.8,47.4
124,Maciej Kucharek,Grupa Sierleccy Czarni Słupsk ,4,8,2,16,4,50
125,Wojciech Tomaszewski,Asseco Arka Gdynia ,6,8,1.3,17,2.8,47.1
126,Roman Szymański,Polski Cukier Pszczółka Start Lublin ,7,8,1.1,19,2.7,42.1
127,Michał Krasuski,Enea Abramczyk Astoria Bydgoszcz ,7,7,1,19,2.7,36.8
128,Marcin Piechowicz,MKS Dąbrowa Górnicza ,5,6,1.2,27,5.4,22.2
129,Evangelos Mantzaris,Arged BM Stal Ostrów Wlkp. ,4,6,1.5,17,4.3,35.3
130,Aleksander Wiśniewski,GTK Gliwice ,7,6,0.9,15,2.1,40
131,Maciej Bojanowski,Anwil Włocławek ,6,6,1,14,2.3,42.9
132,Jarosław Mokros,Arged BM Stal Ostrów Wlkp. ,7,6,0.9,19,2.7,31.6
133,Damian Jeszke,Polski Cukier Pszczółka Start Lublin ,6,5,0.8,19,3.2,26.3
134,Alan Czujkowski,MKS Dąbrowa Górnicza ,7,5,0.7,23,3.3,21.7
135,Thomas Davis,Polski Cukier Pszczółka Start Lublin ,4,5,1.3,17,4.3,29.4
136,Lamonte Turner,Asseco Arka Gdynia ,3,4,1.3,20,6.7,20
